Date,Close,High,Low,Open,Volume,Log_Return
2016-01-11,5351.470215,5442.180176,5260.77002,5351.470215,565042,0
2016-01-12,5804.990234,5804.990234,5260.77002,5351.470215,1205110,0.0813466032
2016-01-13,5804.990234,6077.100098,5714.290039,5714.290039,1593565,0
2016-01-14,5532.879883,5714.290039,5442.180176,5714.290039,1117266,-0.0480094784
2016-01-15,5351.470215,5623.580078,5351.470215,5442.180176,847315,-0.0333371248
2016-01-19,5170.069824,5170.069824,4988.660156,4988.660156,971137,-0.0344851356
2016-01-20,5260.77002,5532.879883,4988.660156,5170.069824,1407121,0.0173912135
2016-01-21,5260.77002,5442.180176,5170.069824,5170.069824,1217193,0
2016-01-22,5442.180176,5532.879883,5170.069824,5351.470215,1461309,0.0339023406
2016-01-25,5895.689941,5986.390137,5532.879883,5532.879883,1449170,0.0800418174
2016-01-26,5532.879883,5804.990234,5532.879883,5804.990234,1402623,-0.0635131111
2016-01-27,5804.990234,5895.689941,5623.580078,5623.580078,989913,0.0480094784
2016-01-28,5714.290039,5804.990234,5623.580078,5804.990234,729723,-0.015747871
2016-01-29,5714.290039,5804.990234,5623.580078,5714.290039,837216,0
2016-02-01,5623.580078,5714.290039,5532.879883,5714.290039,648303,-0.0160015762
2016-02-02,5532.879883,5623.580078,5442.180176,5623.580078,602406,-0.0162600312
2016-02-03,5532.879883,5623.580078,5442.180176,5442.180176,570764,0
2016-02-04,5532.879883,5623.580078,5532.879883,5532.879883,350915,0
2016-02-05,5714.290039,5714.290039,5532.879883,5532.879883,768608,0.0322616074
2016-02-08,5714.290039,5714.290039,5714.290039,5714.290039,0,0
2016-02-09,5714.290039,5714.290039,5714.290039,5714.290039,0,0
2016-02-10,5714.290039,5714.290039,5714.290039,5714.290039,0,0
2016-02-11,5714.290039,5714.290039,5714.290039,5714.290039,0,0
2016-02-12,5714.290039,5714.290039,5714.290039,5714.290039,0,0
2016-02-16,5714.290039,5714.290039,5623.580078,5623.580078,432081,0
2016-02-17,5714.290039,5895.689941,5623.580078,5714.290039,1156908,0
2016-02-18,5804.990234,5895.689941,5714.290039,5714.290039,878847,0.015747871
2016-02-19,5804.990234,5804.990234,5804.990234,5804.990234,0,0
2016-02-22,5804.990234,5804.990234,5804.990234,5804.990234,0,0
2016-02-23,5804.990234,5804.990234,5804.990234,5804.990234,0,0
2016-02-24,6167.799805,6258.5,5986.390137,5986.390137,1121672,0.0606242458
2016-02-25,5895.689941,6167.799805,5895.689941,6167.799805,1067303,-0.0451206131
2016-02-26,6077.100098,6077.100098,5895.689941,5895.689941,1079579,0.030306059
2016-02-29,5986.390137,6167.799805,5986.390137,5986.390137,1190965,-0.0150390424
2016-03-01,6077.100098,6077.100098,5986.390137,5986.390137,493060,0.0150390424
2016-03-02,6258.5,6258.5,6077.100098,6077.100098,1234381,0.0294129152
2016-03-03,6077.100098,6258.5,6077.100098,6258.5,670740,-0.0294129152
2016-03-04,6077.100098,6167.799805,5986.390137,6077.100098,858517,0
2016-03-07,6077.100098,6167.799805,5986.390137,6077.100098,818298,0
2016-03-08,6258.5,6258.5,6077.100098,6077.100098,1570070,0.0294129152
2016-03-09,6167.799805,6349.209961,6077.100098,6258.5,503237,-0.0145983611
2016-03-10,6258.5,6349.209961,6077.100098,6167.799805,1345138,0.0145983611
2016-03-11,6439.910156,6621.319824,6258.5,6258.5,3003810,0.0285740493
2016-03-14,6530.609863,6621.319824,6439.910156,6439.910156,983287,0.0139857439
2016-03-15,6349.209961,6621.319824,6349.209961,6621.319824,1327070,-0.0281699434
2016-03-16,6439.910156,6439.910156,6258.5,6258.5,1199101,0.0141841996
2016-03-17,6349.209961,6621.319824,6349.209961,6439.910156,961236,-0.0141841996
2016-03-18,6530.609863,6712.02002,6349.209961,6349.209961,3162709,0.0281699434
2016-03-21,6893.419922,7074.830078,6530.609863,6530.609863,4583569,0.0540669891
2016-03-22,7256.240234,7256.240234,6802.720215,6893.419922,3441432,0.0512944985
2016-03-23,7346.939941,7437.640137,7256.240234,7256.240234,2246267,0.0124220714
2016-03-24,7256.240234,7528.339844,7256.240234,7346.939941,3061290,-0.0124220714
2016-03-28,6984.129883,6984.129883,6893.419922,6984.129883,1438134,-0.0382214051
2016-03-29,6712.02002,6984.129883,6621.319824,6984.129883,908372,-0.0397404638
2016-03-30,7074.830078,7074.830078,6621.319824,6621.319824,1729943,0.0526434742
2016-03-31,6802.720215,7074.830078,6712.02002,6984.129883,1055842,-0.0392208622
2016-04-01,7165.529785,7165.529785,6621.319824,6712.02002,2780207,0.0519594355
2016-04-04,6984.129883,7256.240234,6984.129883,7165.529785,939341,-0.0256415837
2016-04-05,7074.830078,7165.529785,6893.419922,6984.129883,1327344,0.0129030105
2016-04-06,7074.830078,7165.529785,6984.129883,7074.830078,614754,0
2016-04-07,6984.129883,7165.529785,6984.129883,7074.830078,893361,-0.0129030105
2016-04-08,7619.049805,7619.049805,6893.419922,6984.129883,3309261,0.0870112488
2016-04-11,7981.859863,8344.669922,7709.75,7709.75,4356706,0.0465197855
2016-04-12,8163.27002,8344.669922,7891.160156,7981.859863,2388292,0.0224733765
2016-04-13,8072.560059,8163.27002,7891.160156,8163.27002,1821573,-0.0111741629
2016-04-14,8253.969727,8526.080078,7981.859863,8072.560059,2116363,0.0222236001
2016-04-15,8253.969727,8253.969727,8253.969727,8253.969727,0,0
2016-04-18,8253.969727,8253.969727,8253.969727,8253.969727,0,0
2016-04-19,8253.969727,8253.969727,8253.969727,8253.969727,0,0
2016-04-20,7709.75,7800.450195,7437.640137,7619.049805,1518154,-0.068208502
2016-04-21,7709.75,7891.160156,7619.049805,7800.450195,555594,0
2016-04-22,7981.859863,8072.560059,7709.75,7709.75,1114881,0.0346856883
2016-04-26,7981.859863,8072.560059,7800.450195,8072.560059,965549,0
2016-04-27,7981.859863,7981.859863,7981.859863,7981.859863,0,0
2016-04-28,7981.859863,7981.859863,7981.859863,7981.859863,0,0
2016-04-29,7981.859863,7981.859863,7981.859863,7981.859863,0,0
2016-05-02,7981.859863,7981.859863,7981.859863,7981.859863,0,0
2016-05-03,7981.859863,7981.859863,7981.859863,7981.859863,0,0
2016-05-04,7981.859863,7981.859863,7981.859863,7981.859863,0,0
2016-05-05,7074.830078,7165.529785,6984.129883,6984.129883,614655,-0.120628024
2016-05-06,7074.830078,7256.240234,6984.129883,7074.830078,646175,0
2016-05-09,6712.02002,7165.529785,6712.02002,7074.830078,1348544,-0.0526434742
2016-05-10,6712.02002,6712.02002,6712.02002,6712.02002,0,0
2016-05-11,6712.02002,6712.02002,6712.02002,6712.02002,0,0
2016-05-12,6893.419922,7074.830078,6802.720215,6984.129883,501212,0.0266673703
2016-05-13,6802.720215,6984.129883,6712.02002,6893.419922,456656,-0.0132447583
2016-05-16,6802.720215,6802.720215,6802.720215,6802.720215,0,0
2016-05-17,6802.720215,6802.720215,6802.720215,6802.720215,0,0
2016-05-18,6802.720215,6802.720215,6802.720215,6802.720215,0,0
